년도,작물코드,작물분류,품목,수출입,물량(kg),금액(USD)
2020,1,식량작물,감자,수입,0,0
2020,1,식량작물,두류,수입,80001.8,205242
2020,6,사료작물,호밀,수입,3277280,4554947
2020,6,사료작물,유채,수입,0.3,14
2020,6,사료작물,페스큐,수입,474519.5,1343055
2020,6,사료작물,켄터기블루그라스,수입,173600.2,1024531
2020,6,사료작물,라이그라스,수입,6519832.4,14188917
2020,6,사료작물,수단그라스,수입,551800.7,1493272
2020,6,사료작물,루산(알팔파),수입,30214.1,116843
2020,6,사료작물,클로버,수입,48552.4,173994
2020,6,사료작물,티모디그라스,수입,7335.8,23429
2020,6,사료작물,오차드그라스,수입,40511.2,237312
2020,6,사료작물,기타(헤어리벳치 등),수입,2169410.4,8565571
2020,4,화훼류,화초용 초본식물,수입,321173.3,6494411
2020,2,채소류,고추류(착색단고추 포함),수입,37949.8,13107718
2020,2,채소류,무,수입,1039599.1,11232000
2020,2,채소류,양배추,수입,93501.4,3251527
2020,2,채소류,토마토,수입,6423.1,10603903
2020,2,채소류,양파,수입,50449.7,11430134
2020,2,채소류,파속,수입,89757.7,4632556
2020,2,채소류,멜론,수입,3321.8,501125
2020,2,채소류,기타 (배추 등),수입,946551.8,24508974
2020,9,기타,산림수,수입,26504,368223
2020,9,기타,잔디,수입,593586.3,2437549
2020,3,과수류,과수목,수입,80241.6,344488
2020,9,기타,사탕무,수입,0.5,137
2020,9,기타,땅콩,수입,39721.1,98392
2020,9,기타,면실,수입,0,0
2020,9,기타,연초,수입,157.1,129350
2020,9,기타,기타종자류(포자 등),수입,165687.4,3816841
2020,9,기타,인삼,수입,5.8,277
